customer_id,churned,churn_date
CUST_1001,True,2025-07-24
CUST_1002,True,2025-05-30
CUST_1003,True,2025-05-17
CUST_1004,False,
CUST_1005,False,
CUST_1006,True,2025-05-29
CUST_1007,False,
CUST_1008,False,
CUST_1009,True,2025-11-14
CUST_1010,False,
CUST_1011,True,2025-05-26
CUST_1012,False,
CUST_1013,True,2025-09-21
CUST_1014,True,2025-06-29
CUST_1015,False,
CUST_1016,False,
CUST_1017,True,2025-05-27
CUST_1018,False,
CUST_1019,True,2025-08-24
CUST_1020,False,
CUST_1021,False,
CUST_1022,True,2025-10-29
CUST_1023,True,2025-07-12
CUST_1024,True,2025-11-23
CUST_1025,False,
CUST_1026,True,2025-09-09
CUST_1027,True,2025-07-08
CUST_1028,True,2025-08-03
CUST_1029,False,
CUST_1030,False,
CUST_1031,True,2025-07-27
CUST_1032,True,2025-04-12
CUST_1033,True,2025-04-29
CUST_1034,False,
CUST_1035,True,2025-09-09
CUST_1036,True,2025-08-25
CUST_1037,False,
CUST_1038,True,2025-04-13
CUST_1039,True,2025-07-01
CUST_1040,False,
CUST_1041,False,
CUST_1042,False,
CUST_1043,False,
CUST_1044,False,
CUST_1045,False,
CUST_1046,False,
CUST_1047,True,2025-09-14
CUST_1048,True,2025-08-10
CUST_1049,True,2025-05-22
CUST_1050,False,
CUST_1051,True,2025-11-03
CUST_1052,False,
CUST_1053,False,
CUST_1054,True,2025-06-18
CUST_1055,False,
CUST_1056,False,
CUST_1057,True,2025-10-12
CUST_1058,True,2025-11-10
CUST_1059,False,
CUST_1060,False,
CUST_1061,False,
CUST_1062,False,
CUST_1063,False,
CUST_1064,False,
CUST_1065,False,
CUST_1066,True,2025-07-09
CUST_1067,False,
CUST_1068,False,
CUST_1069,True,2025-08-18
CUST_1070,False,
CUST_1071,False,
CUST_1072,True,2025-08-16
CUST_1073,True,2025-10-13
CUST_1074,True,2025-10-04
CUST_1075,False,
CUST_1076,False,
CUST_1077,False,
CUST_1078,False,
CUST_1079,False,
CUST_1080,False,
CUST_1081,False,
CUST_1082,False,
CUST_1083,False,
CUST_1084,True,2025-11-03
CUST_1085,True,2025-05-23
CUST_1086,True,2025-08-04
CUST_1087,True,2025-09-25
CUST_1088,False,
CUST_1089,False,
CUST_1090,True,2025-06-24
CUST_1091,False,
CUST_1092,False,
CUST_1093,False,
CUST_1094,True,2025-07-02
CUST_1095,True,2025-12-07
CUST_1096,False,
CUST_1097,False,
CUST_1098,False,
CUST_1099,False,
CUST_1100,True,2025-09-11
CUST_1101,False,
CUST_1102,False,
CUST_1103,False,
CUST_1104,True,2025-09-06
CUST_1105,False,
CUST_1106,True,2025-07-16
CUST_1107,False,
CUST_1108,False,
CUST_1109,False,
CUST_1110,False,
CUST_1111,False,
CUST_1112,False,
CUST_1113,True,2025-10-28
CUST_1114,True,2025-09-09
CUST_1115,False,
CUST_1116,True,2025-09-19
CUST_1117,False,
CUST_1118,True,2025-08-21
CUST_1119,True,2025-05-29
CUST_1120,False,
CUST_1121,True,2025-10-02
CUST_1122,False,
CUST_1123,False,
CUST_1124,True,2025-11-16
CUST_1125,False,
CUST_1126,True,2025-09-30
CUST_1127,False,
CUST_1128,True,2025-08-22
CUST_1129,False,
CUST_1130,True,2025-05-31
CUST_1131,False,
CUST_1132,False,
CUST_1133,False,
CUST_1134,False,
CUST_1135,False,
CUST_1136,False,
CUST_1137,False,
CUST_1138,False,
CUST_1139,True,2025-08-22
CUST_1140,False,
CUST_1141,True,2025-09-25
CUST_1142,True,2025-04-24
CUST_1143,False,
CUST_1144,False,
CUST_1145,False,
CUST_1146,False,
CUST_1147,False,
CUST_1148,False,
CUST_1149,False,
CUST_1150,False,
CUST_1151,True,2025-10-23
CUST_1152,True,2025-07-19
CUST_1153,True,2025-09-30
CUST_1154,False,
CUST_1155,False,
CUST_1156,True,2025-10-28
CUST_1157,False,
CUST_1158,True,2025-05-08
CUST_1159,False,
CUST_1160,False,
CUST_1161,True,2025-06-30
CUST_1162,False,
CUST_1163,False,
CUST_1164,False,
CUST_1165,False,
CUST_1166,True,2025-07-07
CUST_1167,True,2025-08-18
CUST_1168,True,2025-06-09
CUST_1169,True,2025-11-19
CUST_1170,False,
CUST_1171,False,
CUST_1172,True,2025-10-28
CUST_1173,False,
CUST_1174,False,
CUST_1175,True,2025-06-09
CUST_1176,True,2025-09-18
CUST_1177,False,
CUST_1178,False,
CUST_1179,False,
CUST_1180,False,
CUST_1181,True,2025-11-20
CUST_1182,True,2025-08-01
CUST_1183,False,
CUST_1184,True,2025-04-09
CUST_1185,True,2025-06-25
CUST_1186,True,2025-07-14
CUST_1187,False,
CUST_1188,False,
CUST_1189,False,
CUST_1190,False,
CUST_1191,True,2025-08-30
CUST_1192,True,2025-05-10
CUST_1193,True,2025-05-23
CUST_1194,False,
CUST_1195,True,2025-06-27
CUST_1196,True,2025-09-30
CUST_1197,True,2025-07-04
CUST_1198,True,2025-07-10
CUST_1199,True,2025-10-24
CUST_1200,True,2025-09-21
